,date,date_id,wind,desc,temp,baro,hum
0,"Sunday 14 July 2024, 18.00 — 00.00",1720980000000.0,9,Drizzle. Fog.,30.0,1003,82
1,"Monday 15 July 2024, 00.00 — 06.00",1721001600000.0,14,Fog.,29.0,1002,80
2,"Monday 15 July 2024, 06.00 — 12.00",1721023200000.0,17,Drizzle. Broken clouds.,29.0,1003,82
3,"Monday 15 July 2024, 12.00 — 18.00",1721044800000.0,13,Drizzle. Broken clouds.,29.0,1001,85
4,"Monday 15 July 2024, 18.00 — 00.00",1721066400000.0,19,Fog.,29.0,1002,84
5,"Tuesday 16 July 2024, 00.00 — 06.00",1721088000000.0,21,Fog.,28.0,1001,84
6,"Tuesday 16 July 2024, 06.00 — 12.00",1721109600000.0,21,Broken clouds.,31.0,1003,79
7,"Tuesday 16 July 2024, 12.00 — 18.00",1721131200000.0,18,Broken clouds.,32.0,1001,70
8,"Tuesday 16 July 2024, 18.00 — 00.00",1721152800000.0,19,Drizzle. Fog.,31.0,1002,76
9,"Wednesday 17 July 2024, 00.00 — 06.00",1721174400000.0,17,Fog.,29.0,1002,83
10,"Wednesday 17 July 2024, 06.00 — 12.00",1721196000000.0,13,Fog.,33.0,1004,79
11,"Wednesday 17 July 2024, 12.00 — 18.00",1721217600000.0,21,Broken clouds.,35.0,1001,66
12,"Wednesday 17 July 2024, 18.00 — 00.00",1721239200000.0,20,Partly cloudy.,33.0,1003,71
13,"Thursday 18 July 2024, 00.00 — 06.00",1721260800000.0,20,Fog.,30.0,1002,78
14,"Thursday 18 July 2024, 06.00 — 12.00",1721282400000.0,18,Fog.,32.0,1004,75
15,"Thursday 18 July 2024, 12.00 — 18.00",1721304000000.0,17,Broken clouds.,32.0,1002,73
16,"Thursday 18 July 2024, 18.00 — 00.00",1721325600000.0,18,Fog.,28.0,1003,84
17,"Friday 19 July 2024, 00.00 — 06.00",1721347200000.0,18,Fog.,28.0,1002,80
18,"Friday 19 July 2024, 06.00 — 12.00",1721368800000.0,19,Drizzle. Fog.,32.0,1003,76
19,"Friday 19 July 2024, 12.00 — 18.00",1721390400000.0,21,Broken clouds.,32.0,1001,71
20,"Friday 19 July 2024, 18.00 — 00.00",1721412000000.0,20,Fog.,30.0,1002,79
21,"Saturday 20 July 2024, 00.00 — 06.00",1721433600000.0,14,Fog.,28.0,1002,79
22,"Saturday 20 July 2024, 06.00 — 12.00",1721455200000.0,14,Fog.,32.0,1004,74
23,"Saturday 20 July 2024, 12.00 — 18.00",1721476800000.0,19,Broken clouds.,34.0,1002,65
24,"Saturday 20 July 2024, 18.00 — 00.00",1721498400000.0,14,Passing clouds.,33.0,1003,67
25,"Sunday 21 July 2024, 00.00 — 06.00",1721520000000.0,14,Passing clouds.,31.0,1003,72
26,"Sunday 21 July 2024, 06.00 — 12.00",1721541600000.0,17,Scattered clouds.,32.0,1004,69
27,"Sunday 21 July 2024, 12.00 — 18.00",1721563200000.0,20,Broken clouds.,35.0,1002,62
28,"Sunday 21 July 2024, 18.00 — 00.00",1721584800000.0,19,Partly cloudy.,34.0,1004,65
29,"Monday 22 July 2024, 00.00 — 06.00",1721606400000.0,15,Partly cloudy.,31.0,1004,69
30,"Monday 22 July 2024, 06.00 — 12.00",1721628000000.0,17,Broken clouds.,33.0,1006,67
31,"Monday 22 July 2024, 12.00 — 18.00",1721649600000.0,14,Broken clouds.,34.0,1004,63
32,"Monday 22 July 2024, 18.00 — 00.00",1721671200000.0,15,Partly cloudy.,33.0,1006,66
33,"Tuesday 23 July 2024, 00.00 — 06.00",1721692800000.0,15,Passing clouds.,30.0,1006,70
34,"Tuesday 23 July 2024, 06.00 — 12.00",1721714400000.0,18,Broken clouds.,34.0,1007,66
35,"Tuesday 23 July 2024, 12.00 — 18.00",1721736000000.0,21,Broken clouds.,36.0,1004,59
36,"Tuesday 23 July 2024, 18.00 — 00.00",1721757600000.0,12,Fog.,34.0,1006,80
37,"Wednesday 24 July 2024, 00.00 — 06.00",1721779200000.0,16,Fog.,29.0,1005,81
38,"Wednesday 24 July 2024, 06.00 — 12.00",1721800800000.0,17,Scattered clouds.,34.0,1005,69
39,"Wednesday 24 July 2024, 12.00 — 18.00",1721822400000.0,20,Scattered clouds.,35.0,1002,57
40,"Wednesday 24 July 2024, 18.00 — 00.00",1721844000000.0,16,Partly cloudy.,34.0,1003,65
41,"Thursday 25 July 2024, 00.00 — 06.00",1721865600000.0,15,Partly cloudy.,30.0,1003,72
42,"Thursday 25 July 2024, 06.00 — 12.00",1721887200000.0,18,Broken clouds.,34.0,1004,68
